Generation: ,0,#,#,#,fitness
3,29,31,33,45,0.09618773264476264
3,25,39,44,45,0.04536273996735813
1,13,23,31,50,0.021658365327978532
2,13,19,24,31,0.014497953531068968
13,26,29,34,43,0.01239058046973199
13,19,21,28,34,0.008417519179897368
19,29,45,48,49,0.005661626072917101
3,20,34,38,39,0.004997522535304807
8,9,26,30,38,0.003528170106597308
4,32,35,39,41,0.0028380494221102288
4,16,19,22,48,0.002372898380148097
15,20,32,33,38,0.0017537973857258064
10,21,33,35,49,0.0015791864600331333
4,5,28,38,45,0.0010329573219696145
13,35,41,43,47,0.00047730995065701804
5,10,11,30,32,0.0004287125311954655
19,27,28,40,46,0.0002577959201602553
17,20,22,29,34,0.00015698214762591302
4,11,15,26,38,0.00012073244223228742
13,17,30,32,47,7.298841150633163e-06
Generation: ,1,#,#,#,fitness
3,31,32,33,45,0.29461148477661064
3,29,31,33,45,0.09618773264476264
1,3,23,31,39,0.08818754089590633
29,33,39,44,45,0.04746343150586531
3,25,39,44,45,0.04536273996735813
2,3,13,24,31,0.03588057078326445
3,19,25,44,45,0.02772652597674153
13,21,28,31,34,0.026932588638115155
13,19,39,44,45,0.02438450728295015
1,13,23,31,50,0.021658365327978532
2,13,19,24,31,0.014497953531068968
13,19,21,28,34,0.008417519179897368
2,13,19,39,44,0.0063312269633861
19,29,45,48,49,0.005661626072917101
15,20,32,33,38,0.0017537973857258064
1,15,20,23,38,0.0008240629450770414
5,10,30,32,44,0.0006090683125161073
5,10,11,30,32,0.0004287125311954655
3,10,30,32,39,0.00036976356194690226
5,10,20,30,32,0.00016475558951485055
Generation: ,2,#,#,#,fitness
3,31,32,33,45,0.29461148477661064
3,29,32,33,45,0.10320387701657015
3,29,31,33,45,0.09618773264476264
3,23,31,32,39,0.09380521721409533
1,3,23,31,39,0.08818754089590633
29,33,39,44,45,0.04746343150586531
29,31,39,44,45,0.041539853200560736
3,13,28,32,45,0.03638803428905795
1,3,5,20,39,0.027214281186564368
13,21,28,31,34,0.026932588638115155
1,20,23,31,39,0.023020300724901386
5,28,30,31,32,0.013249816187783802
5,10,31,32,33,0.005470934680273867
3,20,38,45,50,0.0013490009975479127
15,20,32,38,44,0.0011457068427276121
1,15,20,23,38,0.0008240629450770414
5,10,30,32,44,0.0006090683125161073
5,10,30,31,44,0.0005676618136864163
5,10,20,30,32,0.00016475558951485055
5,23,30,32,36,8.093619732124014e-05
Generation: ,3,#,#,#,fitness
3,31,32,33,45,0.29461148477661064
29,31,32,33,45,0.13342504441515812
3,29,31,32,33,0.12857684554360732
3,29,32,33,45,0.10320387701657015
1,20,31,32,33,0.09664441271021813
3,29,31,33,45,0.09618773264476264
3,23,31,32,39,0.09380521721409533
29,32,33,39,45,0.06822557331704147
1,20,32,33,39,0.0494181620395572
29,33,39,44,45,0.04746343150586531
1,20,23,31,39,0.023020300724901386
19,29,39,44,45,0.012982877945530888
5,20,30,32,45,0.010011329777587771
5,10,31,32,45,0.0038432673749136713
3,5,10,33,45,0.0031657535820177915
20,29,38,44,45,0.003088805998253916
7,9,14,15,26,0.0016093966640944792
5,10,30,32,33,0.0009323348472599932
1,15,20,23,38,0.0008240629450770414
5,10,20,30,32,0.00016475558951485055
Generation: ,4,#,#,#,fitness
3,31,32,33,45,0.29461148477661064
7,8,16,25,34,0.2008813872678538
3,31,32,33,39,0.18768357393180538
3,32,33,39,45,0.15064666114801437
23,31,32,33,39,0.1385678610145863
29,31,32,33,45,0.13342504441515812
3,29,31,32,33,0.12857684554360732
3,29,32,33,45,0.10320387701657015
3,23,31,32,39,0.09380521721409533
3,5,29,32,45,0.07883588724416804
1,20,32,33,45,0.07757289457145108
29,32,33,39,45,0.06822557331704147
23,29,31,32,39,0.04248295100462382
20,23,29,32,33,0.01916732168748314
15,29,31,32,45,0.011350874327939457
1,15,23,29,32,0.008146058758132735
5,10,32,33,45,0.004391316862079799
3,10,31,32,45,0.003405941093538658
