Generation,BestFitness,AverageFitness
0,0.09618773264476264,0.011186396531931266
1,0.29461148477661064,0.03737269869363994
2,0.29461148477661064,0.045100814282972926
3,0.29461148477661064,0.058560233331631906
4,0.29461148477661064,0.08744852938609274
5,0.29461148477661064,0.07605173335911286
6,0.41812587321177014,0.08909131775675164
7,0.5083770095273162,0.19243673214906326
8,0.5083770095273162,0.20454831613542396
9,0.5083770095273162,0.22879123669638496
10,0.5083770095273162,0.19325039781882783
11,0.5083770095273162,0.17894445819489643
12,0.5405655758014785,0.1893042178779357
13,0.5405655758014785,0.2298589608097484
14,0.5405655758014785,0.22772892574154507
15,0.5405655758014785,0.19111590407096332
16,0.6009043074726559,0.16739355495673913
17,0.6009043074726559,0.1784853375808998
18,0.6009043074726559,0.22873965902326115
19,0.6009043074726559,0.22436992744287357
20,0.6009043074726559,0.21295024958902703
21,0.6009043074726559,0.2183342695854893
22,0.6009043074726559,0.21348126761635422
23,0.6009043074726559,0.18848015009113767
24,0.6009043074726559,0.19030047531492503
25,0.6009043074726559,0.17806406874411643
26,0.6009043074726559,0.15126943118709574
27,0.6009043074726559,0.17267838158000523
28,0.6009043074726559,0.12767098974044433
29,0.6009043074726559,0.17164064787827543
30,0.6009043074726559,0.16912801619444237
31,0.6009043074726559,0.16575154302441816
32,0.6009043074726559,0.22212109774684424
33,0.6009043074726559,0.21334071961230788
34,0.6009043074726559,0.22424935733268647
35,0.6009043074726559,0.20785707029983053
36,0.6009043074726559,0.2567897275685107
37,0.6009043074726559,0.20084812628603949
38,0.6009043074726559,0.2099068079371412
39,0.6476043352824119,0.2492235835481623
40,0.6476043352824119,0.29997615638824315
41,0.7198908921127477,0.34706550488753296
42,0.7198908921127477,0.420382936283051
43,0.7198908921127477,0.348485767696974
44,0.7198908921127477,0.2762260308601547
45,0.7198908921127477,0.2737949601077983
46,0.7198908921127477,0.25312468637976965
47,0.7198908921127477,0.2767148379574732
48,0.7198908921127477,0.24807651929495922
49,0.7198908921127477,0.3121185988700566
Generation,BestFitness,AverageFitness
0,0.09618773264476264,0.011186396531931266
1,0.09618773264476264,0.019214174336204183
2,0.14786964487777904,0.0369524273284542
3,0.41834179737160765,0.05859464790667238
4,0.41834179737160765,0.07379463190544727
5,0.41834179737160765,0.10828668276091827
6,0.41834179737160765,0.12622939738415723
7,0.41834179737160765,0.15485427959749906
8,0.4575797337545103,0.19053486302188744
9,0.4643441689366919,0.2042145081775805
10,0.4643441689366919,0.1937653201103012
11,0.523539986950609,0.27732547995374535
12,0.523539986950609,0.22047948145238427
13,0.5761055141022837,0.24188307970311276
14,0.5761055141022837,0.2413301456862204
15,0.5761055141022837,0.19543817681609005
16,0.5811103305313811,0.2567569757128366
17,0.5811103305313811,0.25113877834847986
18,0.5811103305313811,0.26956729010926694
19,0.5811103305313811,0.24287827104057635
20,0.5811103305313811,0.14898136546097124
21,0.5811103305313811,0.15474846554473784
22,0.5811103305313811,0.21701552850070654
23,0.5811103305313811,0.185600878446577
24,0.5811103305313811,0.13340221135236754
25,0.5811103305313811,0.1568329068826334
26,0.5811103305313811,0.17828755464347237
27,0.5811103305313811,0.2170638651059989
28,0.5811103305313811,0.15690656432263078
29,0.5811103305313811,0.16507727953696494
30,0.5811103305313811,0.1744012688560897
31,0.5811103305313811,0.19496981862307533
32,0.5901368117605069,0.223523858398666
33,0.5901368117605069,0.17217915021598798
34,0.5901368117605069,0.19639618549394472
35,0.5901368117605069,0.2130971673177414
36,0.5964243148621132,0.19048547524944287
37,0.5964243148621132,0.18538803986819818
38,0.5964243148621132,0.26206388844294215
39,0.6016056473379641,0.2644463593034073
40,0.6016056473379641,0.2925103392940536
41,0.6016056473379641,0.2828819593198419
42,0.639928813667417,0.3394328858651138
43,0.639928813667417,0.2930558659489463
44,0.639928813667417,0.2904698317270134
45,0.639928813667417,0.2612581481234337
46,0.639928813667417,0.28144212421068343
47,0.639928813667417,0.256969552911409
48,0.639928813667417,0.26308927299795365
49,0.639928813667417,0.2750440994355684
Generation,BestFitness,AverageFitness
0,0.09618773264476264,0.011186396531931266
1,0.13056843677505858,0.0370447729176958
2,0.13941906297950685,0.04476196425152358
3,0.21089727986072454,0.07040543806032373
4,0.21089727986072454,0.08701665069460482
5,0.2673309891213518,0.11785390917046475
6,0.2673309891213518,0.11884453456572912
7,0.2673309891213518,0.1239503619964877
8,0.33305507788003974,0.16915624739851465
9,0.3456134607359532,0.1402407621010765
10,0.3684517478709805,0.16490968301516093
11,0.3684517478709805,0.09836618338451313
12,0.3684517478709805,0.15316609987799196
13,0.3684517478709805,0.11875909468752681
14,0.3684517478709805,0.10348916913192727
15,0.3684517478709805,0.12032591293757233
16,0.37082326525768927,0.11096549066333991
17,0.37082326525768927,0.08729716551166888
18,0.37082326525768927,0.10491431175784297
19,0.37082326525768927,0.15318902212011765
20,0.38419134805031735,0.16327846149707315
21,0.461991226292388,0.16355749479489892
22,0.461991226292388,0.13918465403993507
23,0.461991226292388,0.13398256544044213
24,0.52253570629672,0.2111560301768926
25,0.52253570629672,0.16831629704600098
26,0.5460760669562768,0.18687415278252723
27,0.5460760669562768,0.2244704689310255
28,0.5460760669562768,0.18428188324383382
29,0.5885150496627882,0.23563695212565472
30,0.654205972754594,0.29197120337445404
31,0.654205972754594,0.28394796364177066
32,0.654205972754594,0.2622243370566106
33,0.654205972754594,0.2773668689389243
34,0.654205972754594,0.3340857724228386
35,0.654205972754594,0.3706876223643865
36,0.654205972754594,0.29910086267783276
37,0.654205972754594,0.3743779566925728
38,0.654205972754594,0.3066052253261996
39,0.654205972754594,0.20355922668521798
40,0.654205972754594,0.35098693228049754
41,0.654205972754594,0.3901704337161035
42,0.654205972754594,0.3314631073222017
43,0.654205972754594,0.25089656288045403
44,0.654205972754594,0.17436486975800705
45,0.654205972754594,0.18221424407730508
46,0.7204230075486127,0.26084870425757095
47,0.7204230075486127,0.3136782135425831
48,0.7204230075486127,0.266472782799286
49,0.7204230075486127,0.3311731636172738
Generation,BestFitness,AverageFitness
0,0.09618773264476264,0.011186396531931266
1,0.1667550057747998,0.024343034502362196
2,0.18066028788432598,0.053845965951168015
3,0.18066028788432598,0.07853997173938988
4,0.18066028788432598,0.07804967889095457
5,0.23496142422433586,0.08513382657741682
6,0.29461148477661064,0.13575525735109106
7,0.31621376794604705,0.1409463461137923
8,0.5011787167653167,0.1340394307412409
9,0.5011787167653167,0.22226164165627638
10,0.5011787167653167,0.20463236558683257
11,0.5011787167653167,0.21302685123622758
12,0.5011787167653167,0.23377650828154736
13,0.5734237761849968,0.21467801097240846
14,0.5734237761849968,0.23712304951098892
15,0.6097308649734392,0.2584870872549586
16,0.6097308649734392,0.2052670303795921
17,0.6097308649734392,0.2210769212131083
18,0.6097308649734392,0.24512122604553493
19,0.6097308649734392,0.2009367703644486
20,0.6364795209899653,0.2198979152869618
21,0.654205972754594,0.2855042644606223
22,0.7198908921127477,0.24382985659464468
23,0.7198908921127477,0.3755196450950903
24,0.7198908921127477,0.3190639820109461
25,0.7198908921127477,0.4266833596756302
26,0.7198908921127477,0.3313586643984918
27,0.7198908921127477,0.33486630962080416
28,0.7198908921127477,0.22437297105902423
29,0.7198908921127477,0.29355210173533847
30,0.7198908921127477,0.24247629394496722
31,0.7198908921127477,0.23595287844804358
32,0.7452808931587327,0.2627804592804014
33,0.7452808931587327,0.2668219939970326
34,0.7452808931587327,0.30975042906118466
35,0.7452808931587327,0.3474616966212282
36,0.7452808931587327,0.33417625701620607
37,0.7452808931587327,0.3393101814642313
38,0.7452808931587327,0.2792546508286327
39,0.7452808931587327,0.24720036664049747
40,0.7452808931587327,0.2622166919863562
41,0.7452808931587327,0.26362229875824095
42,0.7452808931587327,0.2360169002158873
43,0.7452808931587327,0.25389946638763294
44,0.7452808931587327,0.21004994085725306
45,0.7452808931587327,0.18388206900271356
46,0.7452808931587327,0.19033846198223592
47,0.7452808931587327,0.23491389321187411
48,0.7452808931587327,0.2050065055359646
49,0.7452808931587327,0.3229071891023669
