Generation,BestFitness,AverageFitness
0,0.09385805999125324,0.010674967938672569
1,0.09414857462254488,0.02919573574623126
2,0.14154229702624865,0.03469956914697432
3,0.14154229702624865,0.03143404433089071
4,0.16344029581890074,0.04212949010255742
5,0.32700802529727,0.06544438193958027
6,0.32700802529727,0.09497214226597425
7,0.32700802529727,0.0904099899231667
8,0.32895365007515515,0.12170271675953512
9,0.32895365007515515,0.14116049216187357
10,0.42276570959050414,0.16674364858783178
11,0.42276570959050414,0.12746651781431212
12,0.42276570959050414,0.1417228046078503
13,0.5083770095273162,0.178825701025966
14,0.6309978370547965,0.17767317413251943
15,0.6309978370547965,0.13832788165596363
16,0.6309978370547965,0.206961273301415
17,0.6309978370547965,0.24110283087171128
18,0.6309978370547965,0.19571579419954027
19,0.6309978370547965,0.16975954604625354
20,0.6309978370547965,0.20744979023740454
21,0.6309978370547965,0.25532047215064746
22,0.6309978370547965,0.3078239758551429
23,0.6309978370547965,0.2558340439626447
24,0.6309978370547965,0.3430230269459311
25,0.6309978370547965,0.26605204161161183
26,0.6359895238834506,0.30275450191822606
27,0.6359895238834506,0.3001274179990337
28,0.6359895238834506,0.25799385606203884
29,0.6359895238834506,0.24430375955745798
30,0.6359895238834506,0.24024911145158162
31,0.7198908921127477,0.2627200108718445
32,0.7198908921127477,0.24607937425882068
33,0.7198908921127477,0.19493514173114196
34,0.7198908921127477,0.19780490588522778
35,0.7198908921127477,0.22281773986846112
36,0.7198908921127477,0.2232076684542869
37,0.7452808931587327,0.27344154317936015
38,0.7452808931587327,0.26773834262583274
39,0.7452808931587327,0.2801451769463593
40,0.7452808931587327,0.33365875356396546
41,0.7452808931587327,0.3768751652505222
42,0.7452808931587327,0.24187783209809138
43,0.7452808931587327,0.27107543200545775
44,0.7452808931587327,0.20685675547604587
45,0.7452808931587327,0.15848215393207596
46,0.7452808931587327,0.3149425600997592
47,0.7452808931587327,0.29234516696581037
48,0.7452808931587327,0.2452086165938825
49,0.7452808931587327,0.21077244177558127
Generation,BestFitness,AverageFitness
0,0.09385805999125324,0.010674967938672569
1,0.09385805999125324,0.015366532953856916
2,0.09385805999125324,0.024922821989660806
3,0.15978548111457488,0.03901700687749114
4,0.2428483702047622,0.06835821208785589
5,0.2428483702047622,0.07843339510397547
6,0.2612777293005065,0.0918094612217212
7,0.2612777293005065,0.07882453568059936
8,0.416517158290587,0.08259277841920479
9,0.5219709061083218,0.12818889656966867
10,0.5219709061083218,0.15104370942779904
11,0.5219709061083218,0.1505052467845746
12,0.6478705893213407,0.1597505525363532
13,0.6478705893213407,0.21276083109514926
14,0.6478705893213407,0.18972103163312795
15,0.6478705893213407,0.18642671422833929
16,0.6478705893213407,0.20088997254725224
17,0.6478705893213407,0.19902701360332847
18,0.6478705893213407,0.2131282570312829
19,0.6478705893213407,0.18050754818229703
20,0.6478705893213407,0.24062045194831905
21,0.6478705893213407,0.2044093747096362
22,0.6478705893213407,0.14435371084260434
23,0.6478705893213407,0.1749722350510343
24,0.6478705893213407,0.24354639563883196
25,0.6478705893213407,0.2054943658478538
26,0.6478705893213407,0.2613777202548683
27,0.7338813941638223,0.2554248779199565
28,0.7338813941638223,0.2241001946913718
29,0.7338813941638223,0.21461919235858443
30,0.7338813941638223,0.2678666066055935
31,0.7338813941638223,0.19612969695318294
32,0.7338813941638223,0.2517192873646742
33,0.7338813941638223,0.2541008348239401
34,0.7338813941638223,0.2018959726860215
35,0.7338813941638223,0.2944232717107757
36,0.7338813941638223,0.24526376117135706
37,0.7338813941638223,0.1602182177412208
38,0.7338813941638223,0.20018611265908665
39,0.7338813941638223,0.23672827124194415
40,0.7338813941638223,0.197474017599037
41,0.7338813941638223,0.16607642801754002
42,0.7338813941638223,0.19021234425227232
43,0.7338813941638223,0.24749216220945155
44,0.7338813941638223,0.2761363513437567
45,0.7338813941638223,0.2084960069025188
46,0.7338813941638223,0.19986934400629144
47,0.7338813941638223,0.2286313263552297
48,0.7338813941638223,0.2195411818307958
49,0.7338813941638223,0.17855528214606003
Generation,BestFitness,AverageFitness
0,0.09385805999125324,0.010674967938672569
1,0.09385805999125324,0.01403215819379278
2,0.21047110365486327,0.04152533619646684
3,0.34771297319460104,0.06345304583707735
4,0.34771297319460104,0.05857898056509571
5,0.34771297319460104,0.04941252274286208
6,0.34771297319460104,0.055190858211017255
7,0.34771297319460104,0.055142262003015405
8,0.34771297319460104,0.05363986648429632
9,0.34771297319460104,0.058564901961395036
10,0.34771297319460104,0.07597819622955868
11,0.34771297319460104,0.05512292272025141
12,0.41812587321177014,0.0899651605249974
13,0.41812587321177014,0.09066614348010528
14,0.41812587321177014,0.09102873314128727
15,0.41812587321177014,0.09841114236759171
16,0.41812587321177014,0.10502890831105952
17,0.41812587321177014,0.13197617763281771
18,0.41812587321177014,0.10668065052868866
19,0.41812587321177014,0.08859121966459646
20,0.41812587321177014,0.09271152093413336
21,0.41812587321177014,0.10236835648870912
22,0.41812587321177014,0.09657993239465967
23,0.41812587321177014,0.09611711264021941
24,0.41812587321177014,0.113726918874596
25,0.41812587321177014,0.11491671000164294
26,0.41812587321177014,0.10533342826298742
27,0.41812587321177014,0.12101935757383593
28,0.41812587321177014,0.11806442398152513
29,0.5140063319565746,0.11917693958394478
30,0.5140063319565746,0.1275732859128548
31,0.670950304055175,0.1607853459607358
32,0.670950304055175,0.15654477374331857
33,0.670950304055175,0.14221567610316396
34,0.670950304055175,0.12871864378091447
35,0.670950304055175,0.12306973585029031
36,0.670950304055175,0.15366770913965197
37,0.670950304055175,0.14244482174122683
38,0.670950304055175,0.1308430697034009
39,0.670950304055175,0.1517296841476073
40,0.670950304055175,0.1719772567829123
41,0.670950304055175,0.16605203308273303
42,0.670950304055175,0.16661041530646198
43,0.670950304055175,0.15735906328581845
44,0.670950304055175,0.1396658105593111
45,0.670950304055175,0.13689641792721058
46,0.670950304055175,0.12500614848585723
47,0.670950304055175,0.12079378326914095
48,0.670950304055175,0.13282930812664534
49,0.670950304055175,0.16617206853659774
Generation,BestFitness,AverageFitness
0,0.09385805999125324,0.010674967938672569
1,0.09385805999125324,0.01347835261681378
2,0.10051001957424706,0.019169113938457407
3,0.10051001957424706,0.022643645306899336
4,0.2025627372648942,0.03387331448214172
5,0.2025627372648942,0.036837461287709414
6,0.2025627372648942,0.03831675175618314
7,0.2025627372648942,0.04404716699938928
8,0.2025627372648942,0.03630806388637052
9,0.2025627372648942,0.037360676872787026
10,0.2025627372648942,0.046572517902089716
11,0.2025627372648942,0.040235253359192216
12,0.2025627372648942,0.039557640289936
13,0.2025627372648942,0.044906903694759616
14,0.2025627372648942,0.038435809486791435
15,0.2025627372648942,0.03930245419857063
16,0.2025627372648942,0.03403164370809264
17,0.2025627372648942,0.046826275729853914
18,0.2025627372648942,0.04410595302718374
19,0.2025627372648942,0.05800418690683841
20,0.2025627372648942,0.0403550764105039
21,0.2025627372648942,0.04200882039700869
22,0.2025627372648942,0.04360018023456282
23,0.5841720502793519,0.09068366297424742
24,0.5841720502793519,0.090110497746731
25,0.5841720502793519,0.08874927275512899
26,0.5841720502793519,0.08215767534409146
27,0.5841720502793519,0.08264014008478968
28,0.5841720502793519,0.08716003439866325
29,0.5841720502793519,0.07980891057225484
30,0.5841720502793519,0.08868847743316424
31,0.5841720502793519,0.07911110913380967
32,0.5841720502793519,0.08199753143091125
33,0.5841720502793519,0.08217552943018648
34,0.5841720502793519,0.07825662417910678
35,0.5841720502793519,0.07993755593680706
36,0.5841720502793519,0.08421881719489648
37,0.5841720502793519,0.08971818482895469
38,0.5841720502793519,0.07353958889876522
39,0.5841720502793519,0.08452394792808274
40,0.5841720502793519,0.08853841277701721
41,0.5841720502793519,0.0773226426278967
42,0.5841720502793519,0.07911860524643734
43,0.5841720502793519,0.07806663578184012
44,0.5841720502793519,0.082949002141405
45,0.5841720502793519,0.10050951833644986
46,0.5841720502793519,0.09344617579022327
47,0.5841720502793519,0.104043231395229
48,0.5841720502793519,0.11562963441211686
49,0.5841720502793519,0.11287411986916782
Generation,BestFitness,AverageFitness
0,0.09385805999125324,0.010674967938672569
1,0.09385805999125324,0.014725139584273772
2,0.09385805999125324,0.016945841921680485
3,0.09385805999125324,0.021301285212148396
4,0.18179245066907926,0.02897396388581358
5,0.18179245066907926,0.021886116403517123
6,0.18179245066907926,0.03169845095188629
7,0.18179245066907926,0.03320692525229933
8,0.18179245066907926,0.02990158342920911
9,0.18179245066907926,0.03260955068553499
10,0.18179245066907926,0.03011834015788616
11,0.18179245066907926,0.03426770819112595
12,0.18179245066907926,0.027863677205881905
13,0.18179245066907926,0.029129317594496655
14,0.18179245066907926,0.03096470274183547
15,0.18179245066907926,0.032247691657187376
16,0.18179245066907926,0.029842461910769207
17,0.18179245066907926,0.03408915483414757
18,0.18179245066907926,0.03042050492859249
19,0.18179245066907926,0.03281074485632066
20,0.18179245066907926,0.029565203518277922
21,0.18179245066907926,0.028932093843199762
22,0.18179245066907926,0.030958693347692707
23,0.20603857805995826,0.043145314935942376
24,0.20603857805995826,0.040436213054062725
25,0.20603857805995826,0.03486994573849068
26,0.20603857805995826,0.03724723593415868
27,0.3175703647940277,0.056882887439948036
28,0.3175703647940277,0.051974563392379894
29,0.3175703647940277,0.04960472466237189
30,0.3175703647940277,0.05852449554416902
31,0.3175703647940277,0.05703884705578297
32,0.3175703647940277,0.056021531209366704
33,0.3175703647940277,0.05481235159514366
34,0.3175703647940277,0.06017872435699408
35,0.3175703647940277,0.04640701573949445
36,0.3175703647940277,0.052100193871528824
37,0.3175703647940277,0.05183561401429636
38,0.3175703647940277,0.049942260985933275
39,0.3175703647940277,0.05173433393351109
40,0.3175703647940277,0.0629860020004441
41,0.3175703647940277,0.06503311260776709
42,0.3175703647940277,0.05998363377306132
43,0.3175703647940277,0.05471312372270125
44,0.3175703647940277,0.056878221142068384
45,0.3175703647940277,0.05873742472174559
46,0.3175703647940277,0.05200206317652569
47,0.3175703647940277,0.05829678417681135
48,0.3175703647940277,0.051729895339717634
49,0.3175703647940277,0.05671195686814519
