Generation: ,0,#,#,#,fitness
3,7,25,28,31,0.03525254024222904
3,7,9,20,21,0.03297346170296116
7,25,27,31,45,0.02534927069199083
3,9,20,23,45,0.023711537281714108
7,21,28,31,40,0.007944870836455583
3,7,26,46,50,0.007512601574030815
3,9,23,26,50,0.007428442871002242
11,25,26,32,50,0.005479081683186718
7,28,31,38,48,0.0026406791680255834
7,28,31,38,50,0.00256200774624083
3,7,38,48,50,0.0014059119879810086
25,28,31,38,50,0.0011415467571605149
3,7,26,31,36,0.00026220598616661067
Generation: ,5,#,#,#,fitness
3,7,32,33,45,0.32700802529727
3,7,23,32,45,0.16344029581890074
3,7,25,32,45,0.14154229702624865
7,21,25,31,45,0.09794347364450406
3,7,21,25,31,0.09438455080149163
23,25,31,32,45,0.09414857462254488
3,21,23,32,45,0.08456188320356987
3,7,25,32,46,0.07851541804067341
3,25,32,45,46,0.05677791691340156
23,25,31,45,46,0.039069637185672655
7,9,20,23,45,0.034025913456790687
20,21,25,31,33,0.02536238620172383
3,9,20,23,45,0.023711537281714108
3,11,25,26,44,0.01997012505761598
3,11,25,32,50,0.01232339245390305
20,25,27,31,32,0.006163994275228369
11,25,26,32,50,0.005479081683186718
3,7,19,20,27,0.0031170036359203486
25,28,31,38,50,0.0011415467571605149
23,28,38,48,50,0.00020058543408449004
Generation: ,6,#,#,#,fitness
3,7,32,33,45,0.32700802529727
7,21,31,32,33,0.3024758831909831
3,7,25,31,32,0.17634087583462946
3,7,23,32,45,0.16344029581890074
3,7,23,31,45,0.1523290784423266
3,7,25,32,45,0.14154229702624865
3,21,25,32,33,0.10424678645725458
7,21,25,31,45,0.09794347364450406
3,25,32,44,45,0.09518439761945158
23,25,31,32,45,0.09414857462254488
3,7,25,32,46,0.07851541804067341
3,23,25,32,45,0.07282364386102186
